case_id,issue_type,ai_success,ai_root_cause,expected_root_cause,root_cause_match,ai_confidence,ai_severity,expected_severity,severity_match,ai_osi_layer,expected_osi_layer,osi_layer_match,ai_evidence,evidence_grounded,ai_next_command,ai_fix_steps,rule_checker_findings,error,latency_ms
NET-001,VLAN,True,PC1 and PC2 are assigned to different VLANs (10 and 20) on their respective access ports.,PC1 and PC2 are assigned to different VLANs (10 and 20) on their respective access ports.,True,0.9,Medium,Medium,True,,Layer 2,,Observed symptom: PC1 cannot ping PC2. Both are in the same department but con | Topology connection: PC1 -> SW1 -> SW2 -> PC2 | Show command finding: SW1# show interfaces trunk,True,show vlan brief on SW2 and ping PC2 from PC1,Reassign switchport Fa0/1 on SW2 to VLAN 10 using switchport access vlan 10.,No duplicate IP addresses detected.,,0.0
NET-002,VLAN,True,VLAN 10 is configured on the access port but missing from the VLAN database.,VLAN 10 is configured on the access port but missing from the VLAN database.,True,0.9,Medium,Medium,True,,Layer 2,,Observed symptom: New PC connected to SW1 Fa0/2 cannot reach the network. | Topology connection: PC -> SW1 (Fa0/2) | Show command finding: SW1# show vlan brief,True,show vlan brief on SW1 to verify VLAN 10 is active,Create VLAN 10 in global configuration mode on SW1 (vlan 10).,No duplicate IP addresses detected. | VLAN 10 is not in the VLAN database on SW1.,,0.0
NET-003,VLAN,True,VLAN 30 is not allowed on the trunk link on Switch B.,VLAN 30 is not allowed on the trunk link on Switch B.,True,0.9,High,High,True,,Layer 2,,Observed symptom: Traffic from VLAN 30 cannot cross between Switch A and Switc | Topology connection: SW_A -> trunk -> SW_B | Show command finding: SW_A# show interfaces trunk,True,show interfaces trunk on SW_B,Add VLAN 30 to the allowed trunk VLAN list on SW_B Gi0/1 (switchport trunk allowed vlan add 30).,No duplicate IP addresses detected.,,0.0
NET-004,VLAN,True,Native VLAN mismatch across the trunk link (99 vs 1).,Native VLAN mismatch across the trunk link (99 vs 1).,True,0.9,Low,Low,True,,Layer 2,,Observed symptom: CDP messages indicate a 'Native VLAN mismatch' on the trunk  | Topology connection: SW1 (Gi0/1) -> SW2 (Gi0/1) | Show command finding: SW1# show interfaces Gi0/1 switchport,True,show interfaces Gi0/1 switchport on SW2 and monitor CDP console logs,Set native VLAN on SW2 interface Gi0/1 to match SW1 (switchport trunk native vlan 99).,No duplicate IP addresses detected.,,0.0
NET-005,Gateway,True,Incorrect default gateway configured on PC1 (192.168.1.254 instead of 192.168.1.1).,Incorrect default gateway configured on PC1 (192.168.1.254 instead of 192.168.1.1).,True,0.9,High,High,True,,Layer 3,,Observed symptom: PC1 can ping other PCs in its subnet but cannot reach the in | Topology connection: PC1 (192.168.1.50) -> SW1 -> R1 (192.168.1.1) | Show command finding: C:\> ipconfig,True,ipconfig on PC1 and ping 192.168.1.1,Change PC1 default gateway address to 192.168.1.1 in network settings.,No duplicate IP addresses detected. | Valid subnet mask on Host_1. | Gateway is within the host subnet on Host_1. | Interface GigabitEthernet0/0 on R1 is down.,,0.0
NET-006,Gateway,True,The gateway interface (Gi0/0) on the branch router is administratively down.,The gateway interface (Gi0/0) on the branch router is administratively down.,True,0.9,Critical,Critical,True,,Layer 1,,Observed symptom: Entire branch office cannot access the main headquarters net | Topology connection: Branch PCs -> SW -> R_Branch (Gi0/0) | Show command finding: R_Branch# show ip interface brief,True,show ip interface brief on R_Branch,Enter interface GigabitEthernet0/0 configuration mode on R_Branch and execute no shutdown.,No duplicate IP addresses detected. | Interface GigabitEthernet0/0 on R1 is administratively down. | Interface Gi0/0 on R1 is administratively down.,,0.0
NET-007,Gateway,True,Server's default gateway is on a different subnet (10.0.1.x) than the server's IP (10.0.0.x).,Server's default gateway is on a different subnet (10.0.1.x) than the server's IP (10.0.0.x).,True,0.9,High,High,True,,Layer 3,,Observed symptom: Server cannot reach external networks despite seemingly corr | Topology connection: Server (10.0.0.10/24) -> Router (10.0.1.1/24) | Show command finding: Server# ipconfig,True,ipconfig on server and ping 10.0.0.1,Reconfigure server default gateway to an IP inside 10.0.0.0/24 (e.g. 10.0.0.1).,No duplicate IP addresses detected. | Valid subnet mask on Host_1. | Gateway 10.0.1.1 is outside subnet 10.0.0.0/24 on Host_1.,,0.0
NET-008,DHCP,True,DHCP pool is exhausted; 50/50 addresses are leased.,DHCP pool is exhausted; 50/50 addresses are leased.,True,0.9,High,High,True,,Layer 7,,Observed symptom: New clients connecting to the network fail to get an IP addr | Topology connection: Clients -> SW1 -> R1 (DHCP Server) | Show command finding: R1# show ip dhcp pool LAN,True,show ip dhcp pool LAN on R1,Expand DHCP subnet address pool or clear expired bindings with clear ip dhcp binding *.,No duplicate IP addresses detected.,,0.0
NET-009,DHCP,True,Incorrect default-router in DHCP pool (192.168.20.1 instead of 192.168.10.1).,Incorrect default-router in DHCP pool (192.168.20.1 instead of 192.168.10.1).,True,0.9,High,High,True,,Layer 7,,Observed symptom: PCs receive DHCP IP addresses but cannot route traffic off t | Topology connection: PCs -> SW1 -> R1 (DHCP) | Show command finding: R1# show running-config | section dhcp,True,ipconfig /renew on client PC and verify gateway address,Update DHCP pool configuration on R1 with default-router 192.168.10.1.,No duplicate IP addresses detected. | Interface Gi0/0 on R1 is down.,,0.0
NET-010,DHCP,True,Missing ip helper-address on the VLAN 20 interface to forward DHCP broadcasts.,Missing ip helper-address on the VLAN 20 interface to forward DHCP broadcasts.,True,0.9,Medium,Medium,True,,Layer 3,,Observed symptom: Clients on VLAN 20 do not get an IP address. DHCP server is  | Topology connection: VLAN 20 Clients -> SW (L3) -> DHCP Server (VLAN 10) | Show command finding: SW# show running-config interface Vlan20,True,show running-config interface Vlan20 and ipconfig /renew on client,Configure ip helper-address 10.0.10.2 under interface Vlan20 on SW.,No duplicate IP addresses detected.,,0.0
