record_id,case_id,issue_type,ai_root_cause,ai_confidence,ai_evidence,ai_next_command,ai_fix_steps,ai_severity,human_decision,human_root_cause,human_evidence,human_fix,human_correction,correction_made,correction_category,correction_reason,supporting_evidence,impact,lesson_learned,timestamp
RAI-001,NET-001,VLAN,PC1 and PC2 are assigned to different VLANs (10 and 20).,0.92,Observed show output in case NET-001,show vlan brief on SW2 and ping PC2 from PC1,Reassign switchport Fa0/1 on SW2 to VLAN 10 using switchport access vlan 10.,Medium,ACCEPT,PC1 and PC2 are assigned to different VLANs (10 and 20).,SW1# show interfaces trunk,AI fix accepted,,False,N/A_ACCEPTED,AI correctly identified VLAN assignment mismatch on access ports.,"SW1# show interfaces trunk
Port   Mode   Encapsulation  Status  Native vlan
Gi0/1  on     802.1q    ",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T10:00:00Z
RAI-002,NET-002,VLAN,VLAN 10 is missing from the switch database on SW2.,0.85,Observed show output in case NET-002,show vlan brief on SW1 to verify VLAN 10 is active,Create VLAN 10 in global configuration mode on SW1 (vlan 10).,Medium,ACCEPT,VLAN 10 is missing from the switch database on SW2.,SW1# show vlan brief,AI fix accepted,,False,N/A_ACCEPTED,AI accurately diagnosed missing VLAN in database.,"SW1# show vlan brief
1    default  active    Fa0/1, Fa0/3

SW1# show interfaces Fa0/2 switchport
Nam",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T10:05:00Z
RAI-003,NET-003,VLAN,VLAN 30 is not allowed on trunk link Fa0/24.,0.88,Observed show output in case NET-003,show interfaces trunk on SW_B,Add VLAN 30 to the allowed trunk VLAN list on SW_B Gi0/1 (switchport trunk allowed vlan add 30).,High,ACCEPT,VLAN 30 is not allowed on trunk link Fa0/24.,SW_A# show interfaces trunk,AI fix accepted,,False,N/A_ACCEPTED,AI correctly spotted trunk allowed VLAN list exclusion.,"SW_A# show interfaces trunk
Port        Vlans allowed on trunk
Gi0/1       10,20,30

SW_B# show inte",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T10:10:00Z
RAI-004,NET-004,VLAN,Native VLAN mismatch between SW1 (VLAN 1) and SW2 (VLAN 99).,0.9,Observed show output in case NET-004,show interfaces Gi0/1 switchport on SW2 and monitor CDP console logs,Set native VLAN on SW2 interface Gi0/1 to match SW1 (switchport trunk native vlan 99).,Low,ACCEPT,Native VLAN mismatch between SW1 (VLAN 1) and SW2 (VLAN 99).,SW1# show interfaces Gi0/1 switchport,AI fix accepted,,False,N/A_ACCEPTED,AI correctly detected native VLAN configuration mismatch.,"SW1# show interfaces Gi0/1 switchport
Trunking Native Mode VLAN: 99 (Management)

SW2# show interfac",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T10:15:00Z
RAI-005,NET-031,VLAN,Port Fa0/5 is unassigned and defaulting to VLAN 1.,0.89,Observed show output in case NET-031,show interfaces Fa0/5 switchport on SW1,Configure switchport access vlan 20 on interface Fa0/5 on SW1.,Medium,EDIT,Port Fa0/5 is assigned to VLAN 1 (default) instead of VLAN 50 (Engineering).,SW1# show vlan brief,Configure switchport access vlan 20 on interface Fa0/5 on SW1.,Port Fa0/5 is assigned to VLAN 1 (default) instead of VLAN 50 (Engineering).,True,INCOMPLETE_FIX,AI correctly identified VLAN issue but human reviewer clarified exact missing target VLAN (VLAN 50).,"SW1# show vlan brief
1    default          active    Fa0/1, Fa0/5
20   SERVERS          active    Fa",Enhanced diagnostic precision and risk mitigation,Provide exact Cisco IOS syntax commands in remediation recommendations.,2026-08-28T10:20:00Z
RAI-006,NET-005,Gateway,Host default gateway is configured for a different subnet.,0.91,Observed show output in case NET-005,ipconfig on PC1 and ping 192.168.1.1,Change PC1 default gateway address to 192.168.1.1 in network settings.,High,ACCEPT,Host default gateway is configured for a different subnet.,C:\> ipconfig,AI fix accepted,,False,N/A_ACCEPTED,AI correctly identified gateway outside subnet.,"C:\> ipconfig
IPv4 Address: 192.168.1.50
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.1.254

",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T10:25:00Z
RAI-007,NET-006,Gateway,Router default gateway interface Gi0/0 is administratively down.,0.95,Observed show output in case NET-006,show ip interface brief on R_Branch,Enter interface GigabitEthernet0/0 configuration mode on R_Branch and execute no shutdown.,Critical,ACCEPT,Router default gateway interface Gi0/0 is administratively down.,R_Branch# show ip interface brief,AI fix accepted,,False,N/A_ACCEPTED,AI correctly identified shutdown gateway interface.,"R_Branch# show ip interface brief
Interface              IP-Address      OK? Method Status          ",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T10:30:00Z
RAI-008,NET-007,Gateway,Subinterface Gi0/0.20 is missing encapsulation dot1Q 20 statement.,0.87,Observed show output in case NET-007,ipconfig on server and ping 10.0.0.1,Reconfigure server default gateway to an IP inside 10.0.0.0/24 (e.g. 10.0.0.1).,High,ACCEPT,Subinterface Gi0/0.20 is missing encapsulation dot1Q 20 statement.,Server# ipconfig,AI fix accepted,,False,N/A_ACCEPTED,AI correctly identified missing 802.1Q encapsulation statement.,"Server# ipconfig
IPv4 Address: 10.0.0.10
Subnet Mask: 255.255.255.0
Default Gateway: 10.0.1.1

Route",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T10:35:00Z
RAI-009,NET-032,Gateway,Default gateway IP is mistyped as 192.168.1.250 instead of 192.168.1.254.,0.86,Observed show output in case NET-032,show ip interface brief on Router,Configure encapsulation dot1Q 20 under subinterface Gi0/0.20 on Router.,High,EDIT,Default gateway IP on PC1 is set to 192.168.1.250 which does not exist on R1 Gi0/0 (192.168.1.254).,Router# show running-config interface Gi0/0.20,Configure encapsulation dot1Q 20 under subinterface Gi0/0.20 on Router.,Default gateway IP on PC1 is set to 192.168.1.250 which does not exist on R1 Gi0/0 (192.168.1.254).,True,INCOMPLETE_FIX,AI attributed failure to routing table; reviewer corrected to host IP configuration typo.,"Router# show running-config interface Gi0/0.20
interface GigabitEthernet0/0.20
 ip address 192.168.2",Enhanced diagnostic precision and risk mitigation,Provide exact Cisco IOS syntax commands in remediation recommendations.,2026-08-28T10:40:00Z
RAI-010,NET-008,DHCP,DHCP address pool is exhausted (100% utilization).,0.93,Observed show output in case NET-008,show ip dhcp pool LAN on R1,Expand DHCP subnet address pool or clear expired bindings with clear ip dhcp binding *.,High,ACCEPT,DHCP address pool is exhausted (100% utilization).,R1# show ip dhcp pool LAN,AI fix accepted,,False,N/A_ACCEPTED,AI correctly diagnosed DHCP pool exhaustion.,"R1# show ip dhcp pool LAN
Pool LAN :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (first/n",Confirmed valid diagnosis,Human engineer review ensures operational safety.,2026-08-28T10:45:00Z
